paddle,slope,y_intercept,T_avg,measured_mip,normalization_coeff
79,-0.011006855215048761,1.0967322247217974,2.2844986913886576,1.063730692393957,1.804968131246626
80,-0.012491789566654874,1.0634027328879505,2.2401785646713708,1.0221526202254259,1.8783887670087491
81,-0.010854275900909703,1.1536557946335626,1.4987113170650035,1.1053908225585378,1.7369422296776154
82,-0.009362103338077625,1.016872068276564,1.4574181465663292,0.975292731723432,1.9686397094410653
83,-0.01764141901015796,1.3908099502977838,1.2717169643682233,1.3436812773617262,1.4289102872444994
84,-0.013679927611312407,1.1450008375071954,0.5413434873416814,1.126430753572732,1.704498917408178
85,-0.010427766029174446,0.9309626136131396,2.842278198111489,0.9005702222615222,2.1319825512090262
86,-0.010485818580411074,1.0673641452256413,0.7364586118801623,1.0553690099282256,1.819268883146926
88,-0.005005276034587924,0.9040986336292802,-1.51763449434358,0.9867441281408177,1.9457931851265071
90,-0.0063023102833642515,0.8996117585630846,-4.423618892737666,0.9237139926086637,2.0785654600486474
91,-0.01665853774399611,1.3119983578697265,-0.5264403686612311,1.3019349202480548,1.4747280913505159
92,-0.012540189921986524,0.8733731643740968,-1.7547059555583246,0.8874151652754111,2.1635870955666214
94,-0.0029504984395194826,1.183135478396933,-3.047271655584843,1.1740606480391271,1.6353499312039061
96,-0.01291993684345621,1.0694971358322445,-4.88827656204449,1.1225947904303968,1.7103232763657155
106,-0.00968045560845378,1.0412310660388604,12.835310014595327,0.9130849572090227,2.1027616158180504
108,-0.008188253600598739,1.0367583616070577,18.05417486225355,0.8863490318937086,2.166189538107655
111,0.0001089500640599731,1.0843134439601512,2.2407290350242444,1.0695475480787962,1.7951516072837082
112,-0.0013533416966395766,1.133060983468369,2.7750708541449973,1.1174457432148932,1.7182042275056297
113,-0.012814138721314696,1.2681903510547674,2.432295615849346,1.2184338587402503,1.5757933729657718
114,-0.007386978032911429,1.131103605833447,2.9053083790313288,1.0912192769972258,1.759499708695928
115,-0.0044744351444593105,1.0908410208405996,3.4010729057775433,1.0669728333131392,1.7994834920379938
116,-0.018983166101318873,2.0958558530292297,4.1381620631589575,1.983831165050271,0.9678242956483378
117,-0.016623027212056142,1.3227243046129469,4.746057732502682,1.2324928887458872,1.5578183188981154
118,-0.009050777528079946,1.2902076599563757,-8.240624789196804,1.3437459260257207,1.4288415412566982
119,-0.008261475253026144,1.0829456358294847,-6.005067111918556,1.1276638800091385,1.7026350085669502
120,-0.00784713994219205,1.0341966195765693,-7.249109555077953,1.0602901333870318,1.810825112430951
121,-0.0022136143528147453,1.0996318552484226,-8.4108922310878,1.0928516976734244,1.7568714987472631
